2020-08-04 12:16:20.865 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 12:16:20.874 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 12:16:20.876 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-04 12:16:21.046 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kalvin.kvf.KvfAdminApplication for test class com.kalvin.kvf.KvfAdminApplicationTests
2020-08-04 12:16:21.171 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-04 12:16:21.363 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@66ea810, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cd24612, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5dafbe45, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2254127a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@51891008, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f953efd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@f68f0dc, org.springframework.test.context.event.EventPublishingTestExecutionListener@d2de489, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14bdbc74, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@12591ac8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5a7fe64f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@38145825, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@41330d4f]
2020-08-04 12:16:21.393 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 12:16:21.394 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 12:16:21.395 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-04 12:16:21.399 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kalvin.kvf.KvfAdminApplication for test class com.kalvin.kvf.KvfAdminApplicationTests
2020-08-04 12:16:21.401 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-04 12:16:21.402 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c78324b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@79defdc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@18317edc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4e0ae11f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@238d68ff, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4b86805d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5852c06f, org.springframework.test.context.event.EventPublishingTestExecutionListener@4149c063, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9cb8225, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@76b07f29, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@38af9828, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@376a0d86, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@62656be4]
2020-08-04 12:57:57.279 [main] INFO  o.s.b.devtools.restart.RestartApplicationListener - Restart disabled due to an agent-based reloader being active
2020-08-04 16:38:33.226 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 16:38:33.256 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 16:38:33.257 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-04 16:38:33.457 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kalvin.kvf.KvfAdminApplication for test class com.kalvin.kvf.KvfAdminApplicationTests
2020-08-04 16:38:33.587 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-04 16:38:33.610 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@66ea810, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cd24612, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5dafbe45, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2254127a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@51891008, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f953efd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@f68f0dc, org.springframework.test.context.event.EventPublishingTestExecutionListener@d2de489, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14bdbc74, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@12591ac8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5a7fe64f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@38145825, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@41330d4f]
2020-08-04 16:38:33.651 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 16:38:33.653 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 16:38:33.654 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-04 16:38:33.662 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kalvin.kvf.KvfAdminApplication for test class com.kalvin.kvf.KvfAdminApplicationTests
2020-08-04 16:38:33.666 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-04 16:38:33.667 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c78324b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@79defdc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@18317edc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4e0ae11f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@238d68ff, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4b86805d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5852c06f, org.springframework.test.context.event.EventPublishingTestExecutionListener@4149c063, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9cb8225, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@76b07f29, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@38af9828, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@376a0d86, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@62656be4]
2020-08-04 16:39:08.610 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 16:39:08.619 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 16:39:08.620 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
